title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
Euphoria,Teen drama [1],Sam Levinson,"['Ron Leshem', 'Daphna Levin']",Sam Levinson [a],"['Augustine Frizzell', 'Sam Levinson', 'Jennifer Morrison', 'Pippa Bianco']","['Zendaya', 'Maude Apatow', 'Angus Cloud', 'Eric Dane', 'Alexa Demie', 'Jacob Elordi', 'Barbie Ferreira', 'Nika King', 'Storm Reid', 'Hunter Schafer', 'Algee Smith', 'Sydney Sweeney', 'Colman Domingo', 'Javon ""Wanna"" Walton', 'Austin Abrams', 'Dominic Fike']",Zendaya [b],Labrinth [c],United States,English,2,18,"['Sam Levinson', 'Kevin Turen', 'Ravi Nandan', 'Drake', 'Adel ""Future"" Nur', 'Ron Leshem', 'Daphna Levin', 'Hadas Mozes Lichtenstein', 'Gary Lennon', 'Mirit Toovi', 'Tmira Yardeni', 'Yoram Mokadi', 'Jim Kleverweis', 'Zendaya', 'Will Greenfield', 'Ashley Levinson', 'Hunter Schafer']","['Tyler Romary', 'Philipp A. Barnett', 'Jamie Feldman', 'Kenneth Yu', 'Harrison Kreiss']","['California', 'Ireland', 'Italy', 'Los Angeles', 'New York City', 'Singapore', 'United Kingdom']","['Marcell Rév', 'André Chemetoff', 'Drew Daniels', 'Adam Newport-Berra', 'Rina Yang']","['Julio C. Perez IV', 'Laura Zempel', 'Harry Yoon', 'Aaron I. Butler', 'Darrin Navarro']",Single-camera [3],48–65 minutes,"['HBO Entertainment', 'The Reasonable Bunch', 'A24', 'Little Lamb', 'DreamCrew', 'ADD Content Agency', 'HOT', 'TEDY Productions']","['$165 million ( s. 1) [d]', '$110+ million ( s. 2) [d]']",HBO,"['HDTV 1080p', '4K UHDTV HDR [e]', 'Dolby Vision [e]']","['Dolby Digital 5.1', 'Dolby Atmos [e]']","June 16, 2019 ( 2019-06-16 ) – present ( present )",,,,,,,,,,,,,,,,,,,,,,,,
Perry Mason,"['Crime drama', 'Detective fiction', 'Legal drama', 'Period drama', 'Neo-noir']","['Rolin Jones', 'Ron Fitzgerald']",Characters by Erle Stanley Gardner,,,"['Matthew Rhys', 'Juliet Rylance', 'Chris Chalk', 'Shea Whigham', 'Tatiana Maslany', 'John Lithgow', 'Justin Kirk', 'Diarra Kilpatrick', 'Eric Lange', 'Katherine Waterston']",,Terence Blanchard,United States,English,2,16,"['Rolin Jones', 'Ron Fitzgerald', 'Robert Downey Jr.', 'Susan Downey', 'Amanda Burrell', 'Joe Horaceck', 'Tim Van Patten', 'Michael Begler', 'Jack Amiel', 'Matthew Rhys']",,,"['David Franco', 'Darran Tiernan']",,,56–64 minutes,"['HBO Entertainment', 'Dwight Street Book Club', 'Inflatable Moose Inc.', 'Team Downey']",$74.3 million ( s. 1) [1] [a],HBO,"['HDTV 1080p', '4K UHDTV HDR [b]', 'Dolby Vision [b]']","['Dolby Digital 5.1', 'Dolby Atmos [b]']","June 21, 2020 ( 2020-06-21 ) – present ( present )",Mako Kamitsuna,,,,,,,,,,,,,,,,,,,,,,,
The Gilded Age,Historical drama,Julian Fellowes,,Julian Fellowes,"['Michael Engler', 'Salli Richardson Whitfield']","['Carrie Coon', 'Morgan Spector', 'Louisa Jacobson', 'Denée Benton', 'Taissa Farmiga', 'Harry Richardson', 'Blake Ritson', 'Thomas Cocquerel', 'Simon Jones', 'Jack Gilpin', 'Cynthia Nixon', 'Christine Baranski']",,,United States,English,1,9,"['Julian Fellowes', 'Gareth Neame', 'Michael Engler', 'Salli Richardson Whitfield', 'David Crockett', 'Robert Greenblatt']","['Holly Rymon', 'Claire M. Shanley']",,,,,46–80 minutes,"['Neamo Film and Television', 'Universal Television', 'HBO Entertainment']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","January 24, 2022 ( 2022-01-24 ) – present ( present )",,"['Harry Gregson-Williams', 'Rupert Gregson-Williams']",,,,,,,,,,,,,,,,,,,,,,
Winning Time: The Rise of the Lakers Dynasty,"['Biographical drama', 'Comedy-drama', 'Sports drama']","['Max Borenstein', 'Jim Hecht']",Showtime by Jeff Pearlman,,,"['John C. Reilly', 'Quincy Isaiah', 'Jason Clarke', 'Adrien Brody', 'Gaby Hoffmann', 'Tracy Letts', 'Jason Segel', 'Julianne Nicholson', 'Hadley Robinson', 'DeVaughn Nixon', 'Solomon Hughes', 'Tamera Tomakili', 'Brett Cullen', 'Stephen Adly Guirgis', 'Spencer Garrett', 'Sarah Ramos', 'Molly Gordon', 'Joey Brooks', 'Delante Desouza', 'Jimel Atkins', 'Austin Aaron', 'Jon Young', 'Rob Morgan', 'Sally Field']",,,United States,English,2,10,"['Adam McKay', 'Kevin Messick', 'Max Borenstein', 'Scott Stephens', 'Jim Hecht', 'Jason Shuman', 'Rodney Barnes']","['Doug Ornstein', 'Bruce Dunn']",,"['Todd Banhazl', 'Mihai Mălaimare Jr.']","['Hank Corwin', 'Jeremy Weinstein', 'Jessica Hernández', 'Max Koepke', 'Felicia M. Livingston', 'Juliana Rodzinski']",,54-59 minutes,"['HBO Entertainment', 'Steeplechase Amusements', 'Jim Hecht Productions', 'Hyperobject Industries', 'Jason Shuman Productions']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","March 6, 2022 ( 2022-03-06 ) – present ( present )",,,"['Nicholas Britell', 'Robert Glasper']","""My Favorite Mutiny"" by The Coup",,,,,,,,,,,,,,,,,,,,
House of the Dragon,"['Action [1]', 'Adventure [2]', 'Fantasy [3]', 'Serial drama [4]']","['Ryan Condal', 'George R. R. Martin']",Fire & Blood by George R. R. Martin,,,"['Paddy Considine', 'Matt Smith', ""Emma D'Arcy"", 'Rhys Ifans', 'Steve Toussaint', 'Eve Best', 'Sonoya Mizuno', 'Fabien Frankel', 'Milly Alcock', 'Emily Carey', 'Graham McTavish', 'Matthew Needham', 'Jefferson Hall', 'Olivia Cooke', 'Harry Collett', 'Tom Glynn-Carney', 'Ewan Mitchell', 'Bethany Antonia', 'Phoebe Campbell', 'Phia Saban']",,Ramin Djawadi,United States,English,1,10,"['Miguel Sapochnik', 'Ryan Condal', 'George R. R. Martin', 'Ron Schmidt', 'Jocelyn Diaz', 'Sara Hess', 'Vince Gerardis']","['Karen Wacker', 'Angus More Gordon', 'Alexis Raben', 'Kevin Lau']","['Portugal', 'United Kingdom', 'Spain', 'United States']","['Fabian Wagner', 'Pepe Avila del Pino', 'Alejandro Martínez', 'Catherine Goldschmidt']","['Tim Porter', 'Selina MacArthur', 'Crispin Green', 'Chris Hunter']",,54–68 minutes,"['GRRM', 'Bastard Sword', '1:26 Pictures Inc.', 'HBO Entertainment']",,HBO,"['4K UHDTV HDR [a]', 'Dolby Vision [a]']",Dolby Atmos [a],"August 21, 2022 ( 2022-08-21 ) – present ( present )",,,,""" Game of Thrones Theme """,Ramin Djawadi,,,,,,,,,,,,,,,,,,,
The Last of Us,"['Post-apocalyptic', 'Drama', 'Thriller']","['Craig Mazin', 'Neil Druckmann']",The Last of Us by Naughty Dog [a],"['Craig Mazin', 'Neil Druckmann']",,"['Pedro Pascal', 'Bella Ramsey']",,,United States,English,1,9,"['Craig Mazin', 'Neil Druckmann', 'Carolyn Strauss', 'Rose Lam', 'Evan Wells', 'Carter Swan', 'Asad Qizilbash']","['Greg Spence', ""Cecil O'Connor""]","Alberta , Canada","['Ksenia Sereda', 'Eben Bolter', 'Christine A. Maier', 'Nadim Carlsen']","['Timothy A. Good', 'Mark Hartzell', 'Emily Mendez', 'Cindy Mollo']",,43–81 minutes,"['The Mighty Mint', 'Word Games', 'PlayStation Productions', 'Naughty Dog', 'Sony Pictures Television']",,HBO,"['4K UHDTV HDR [b]', 'Dolby Vision [b]']",Dolby Atmos [b],"January 15, 2023 ( 2023-01-15 ) – present ( present )",,"['Gustavo Santaolalla', 'David Fleming']",,,Gustavo Santaolalla,,,,,,,,,,,,,,,,,,,
The Idol,Drama,"['Abel ""The Weeknd"" Tesfaye', 'Reza Fahim', 'Sam Levinson']",,,Sam Levinson,"['Lily-Rose Depp', 'Abel Tesfaye', 'Suzanna Son', 'Troye Sivan', 'Jennie Kim', 'Moses Sumney', 'Jane Adams', 'Dan Levy', 'Eli Roth', 'Rachel Sennott', 'Hari Nef', ""Da'Vine Joy Randolph"", 'Mike Dean', 'Ramsey', 'Hank Azaria']",,,United States,English,,,"['Abel ""The Weeknd"" Tesfaye', 'Reza Fahim', 'Sam Levinson', 'Joseph Epstein', 'Ashley Levinson', 'Aaron L. Gilbert', 'Nick Hall', 'Keily Amaya', 'Sara E. White']",,"Los Angeles , California",Marcell Rév,,,,"['A24', 'Bron Creative', 'Little Lamb', 'HBO Entertainment']",,HBO,"['4K UHDTV HDR [a]', 'Dolby Vision [a]']",['Dolby Atmos [a]'],,Julio C. Perez IV,,,,,,,,,,,,,,,,,,,,,,,
Curb Your Enthusiasm,"['Improvisational comedy', 'Cringe comedy', 'Dark comedy']",Larry David,,,,"['Larry David', 'Jeff Garlin', 'Cheryl Hines', 'Susie Essman', 'J. B. Smoove']",,,United States,English,11,110 + one-hour special ( list of episodes ),"['Larry David', 'Jeff Garlin', 'Robert B. Weide', 'Alec Berg', 'David Mandel', 'Jeff Schaffer', 'Larry Charles', 'Gavin Polone', 'Tim Gibbons', ""Erin O'Malley""]",,"['Los Angeles', 'New York City']",,,Single-camera,26–58 minutes [1],,,HBO,"['NTSC (seasons 1–6)', 'HDTV 1080i (season 7–present)']","['Stereo (seasons 1–6)', 'Dolby Digital 5.1 (seasons 7–present)']","October 15, 2000 ( 2000-10-15 ) – present",,,,"""Frolic""",Luciano Michelini,Larry David,HBO Entertainment,,,,,,,,,,,,,,,,,
Random Acts of Flyness,Sketch comedy,Terence Nance,,,,,,,United States,English,2,12 ( list of episodes ),"['Kelley Robins Hicks', 'Kishori Rajan', 'Terence Nance', 'Jamund Washington', 'Ravi Nandan', 'John Hodges', 'Tamir Muhammad', 'Chanelle Aponte Pearson']",,,Shawn Peters,"['Terence Nance', 'Kristan Sprague', 'Jonathan L. Proctor', 'Naima Ramos-Chapman']",,30–41 minutes,"['MVMT', 'A24', 'Anonymous Content (season 2)']",,HBO,1080i ( HDTV ),5.1 surround,"August 4, 2018 ( 2018-08-04 ) – present ( present )",,"['Terrence Etc', 'Emile Mosseri', 'Nelson Bandela Nance', 'Jon Bap', 'Nick Hakim']",,,,,,Terence Nance,,,,,,,,,,,,,,,,
A Black Lady Sketch Show,Sketch comedy,Robin Thede,,,,"['Robin Thede', 'Ashley Nicole Black', 'Gabrielle Dennis', 'Quinta Brunson', 'Skye Townsend', 'Laci Mosley', 'DaMya Gurley', 'Tamara Jade', 'Angel Laketa Moore']",,,United States,English,4,24 ( list of episodes ),"['Issa Rae', 'Robin Thede', 'Dave Becky', 'Jonathan Barry', 'Tony Hernandez', 'Brooke Posch']",,,,,,26 minutes,"['HBO Entertainment', 'For Better or Words Inc.', 'Issa Rae Productions (season 1)', 'Hoorae Media (season 2–present)', 'Jax Media', '3 Arts Entertainment']",,HBO,,,"August 2, 2019 ( 2019-08-02 ) – present",,,,"""Hot Girl"" by Megan Thee Stallion (season 1) ""Fine Azz"" by KaMillion (season 2) ""Fortune"" by Tia P (season 3) “I Told Em” by Doechii (season 4)",,,,,,,,,,,,,,,,,,,,
